"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"BLZ",1013,"Chileka International Airport","Blantyre","Malawi","BLZ","FWCL",-15.6791000366211,34.9739990234375,2555,"2","U","Africa/Blantyre","airport","OurAirports"
"KGJ",1014,"Karonga Airport","Karonga","Malawi","KGJ","FWKA",-9.95357036590576,33.8930015563965,1765,"2","U","Africa/Blantyre","airport","OurAirports"
"KBQ",1015,"Kasungu Airport","Kasungu","Malawi","KBQ","FWKG",-13.0145998001099,33.4686012268066,3470,"2","U","Africa/Blantyre","airport","OurAirports"
"LLW",1016,"Lilongwe International Airport","Lilongwe","Malawi","LLW","FWKI",-13.7894001007,33.78099823,4035,"2","U","Africa/Blantyre","airport","OurAirports"
"ZZU",1017,"Mzuzu Airport","Mzuzu","Malawi","ZZU","FWUU",-11.4447002410889,34.0117988586426,4115,"2","U","Africa/Blantyre","airport","OurAirports"
"MSU",1018,"Moshoeshoe I International Airport","Maseru","Lesotho","MSU","FXMM",-29.4622993469238,27.5524997711182,5348,"2","U","Africa/Maseru","airport","OurAirports"
"FIH",1020,"Ndjili International Airport","Kinshasa","Congo (Kinshasa)","FIH","FZAA",-4.38575,15.4446,1027,"1","N","Africa/Kinshasa","airport","OurAirports"
"NLO",1021,"Ndolo Airport","Kinshasa","Congo (Kinshasa)","NLO","FZAB",-4.32666015625,15.327500343323,915,"1","N","Africa/Kinshasa","airport","OurAirports"
"MNB",1022,"Muanda Airport","Muanda","Congo (Kinshasa)","MNB","FZAG",-5.93086004257202,12.3517999649048,89,"1","N","Africa/Kinshasa","airport","OurAirports"
"FDU",1024,"Bandundu Airport","Bandoundu","Congo (Kinshasa)","FDU","FZBO",-3.31132006645203,17.3817005157471,1063,"1","N","Africa/Kinshasa","airport","OurAirports"
"KKW",1025,"Kikwit Airport","Kikwit","Congo (Kinshasa)","KKW","FZCA",-5.03576993942261,18.7856006622314,1572,"1","N","Africa/Kinshasa","airport","OurAirports"
"MDK",1026,"Mbandaka Airport","Mbandaka","Congo (Kinshasa)","MDK","FZEA",0.0226000007242,18.2887001038,1040,"1","N","Africa/Kinshasa","airport","OurAirports"
"BDT",1027,"Gbadolite Airport","Gbadolite","Congo (Kinshasa)","BDT","FZFD",4.25321006774902,20.9752998352051,1509,"1","N","Africa/Kinshasa","airport","OurAirports"
"GMA",1028,"Gemena Airport","Gemena","Congo (Kinshasa)","GMA","FZFK",3.23536992073,19.7712993622,1378,"1","N","Africa/Kinshasa","airport","OurAirports"
"KLI",1029,"Kotakoli Airport","Kotakoli","Congo (Kinshasa)","KLI","FZFP",4.15763998031616,21.650899887085,1801,"1","N","Africa/Kinshasa","airport","OurAirports"
"LIQ",1030,"Lisala Airport","Lisala","Congo (Kinshasa)","LIQ","FZGA",2.17066,21.496901,1509,"1","N","Africa/Kinshasa","airport","OurAirports"
"FKI",1031,"Bangoka International Airport","Kisangani","Congo (Kinshasa)","FKI","FZIC",0.481638997793,25.3379993439,1417,"2","U","Africa/Lubumbashi","airport","OurAirports"
"IRP",1032,"Matari Airport","Isiro","Congo (Kinshasa)","IRP","FZJH",2.82761001586914,27.5883007049561,2438,"2","U","Africa/Lubumbashi","airport","OurAirports"
